[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 1 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_1_20260226_000126.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 7101
[INFO] Peer socket listening on port 7201
[INFO] Fault socket listening on port 7301
Ready!

=== DECENTRALIZED MODE - No leader coordination ===
=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[R1] pos=(0,0) state=exploring leader=None trust=1.00 susp=0.00 cov=0.0%/0.0%
[R1] pos=(856,660) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.1%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[R1] pos=(831,664) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/2.6%
[FAULT] BAD_LEADER mode activated - will send bad assignments
[R1] pos=(683,685) state=exploring leader=None trust=1.00 susp=0.00 cov=1.0%/5.2%
[R1] pos=(458,687) state=exploring leader=None trust=1.00 susp=0.00 cov=2.1%/10.4%
[R1] pos=(258,687) state=exploring leader=None trust=1.00 susp=0.00 cov=2.6%/14.6%
[R1] pos=(99,707) state=exploring leader=None trust=1.00 susp=0.00 cov=3.6%/18.8%
[R1] pos=(171,771) state=exploring leader=None trust=1.00 susp=0.00 cov=4.2%/20.8%
[R1] pos=(182,971) state=exploring leader=None trust=1.00 susp=0.00 cov=4.7%/22.9%
[R1] pos=(79,1117) state=exploring leader=None trust=1.00 susp=0.00 cov=5.7%/26.6%
[R1] pos=(75,1290) state=exploring leader=None trust=1.00 susp=0.00 cov=6.8%/30.7%
[R1] pos=(125,1419) state=exploring leader=None trust=1.00 susp=0.00 cov=7.3%/32.8%
[R1] pos=(324,1349) state=exploring leader=None trust=1.00 susp=0.00 cov=8.3%/34.9%
[R1] pos=(430,1145) state=exploring leader=None trust=1.00 susp=0.00 cov=9.4%/39.6%
[R1] pos=(648,1067) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/44.8%
[R1] pos=(803,1158) state=exploring leader=None trust=1.00 susp=0.00 cov=12.0%/49.0%
[R1] pos=(811,1333) state=exploring leader=None trust=1.00 susp=0.00 cov=12.5%/51.0%
[R1] pos=(885,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=13.5%/53.1%
[R1] pos=(935,1208) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/56.2%
[R1] pos=(936,1133) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/57.8%
[R1] pos=(937,1108) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/58.3%
[R1] pos=(937,1108) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/58.3%
[R1] pos=(937,1108) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/58.3%
[R1] pos=(937,1108) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/58.3%
[R1] pos=(937,1108) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/58.3%
[R1] pos=(937,1108) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/58.3%
[R1] pos=(937,1108) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/58.3%
[R1] pos=(1131,1069) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/62.0%
[R1] pos=(1156,1068) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/62.5%
[R1] pos=(1181,1067) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/62.5%
[R1] pos=(1305,966) state=exploring leader=None trust=1.00 susp=0.00 cov=17.2%/66.1%
[R1] pos=(1424,1091) state=exploring leader=None trust=1.00 susp=0.00 cov=18.2%/70.3%
[R1] pos=(1408,1257) state=exploring leader=None trust=1.00 susp=0.00 cov=19.8%/74.0%
