[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 4 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_4_20260226_000651.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 9104
[INFO] Peer socket listening on port 9204
[INFO] Fault socket listening on port 9304
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R4] state=follower leader=None term=0 cov=0.0%/0.0%
[R4] state=follower leader=1 term=1 cov=0.5%/2.1%
[R4] state=follower leader=1 term=1 cov=0.5%/2.1%
[R4] state=follower leader=1 term=1 cov=0.5%/2.1%
[R4] state=follower leader=1 term=1 cov=0.5%/2.1%
[R4] state=follower leader=1 term=1 cov=0.5%/2.1%
[R4] state=follower leader=1 term=1 cov=0.5%/2.1%
[R4] state=follower leader=1 term=1 cov=0.5%/2.1%
[R4] state=follower leader=1 term=1 cov=1.0%/4.2%
[R4] state=follower leader=1 term=1 cov=1.0%/6.2%
[R4] state=follower leader=1 term=1 cov=2.1%/9.4%
[R4] state=follower leader=1 term=1 cov=2.6%/11.5%
[R4] state=follower leader=1 term=1 cov=2.6%/11.5%
[R4] state=follower leader=1 term=1 cov=2.6%/11.5%
[R4] state=follower leader=1 term=1 cov=2.6%/11.5%
[R4] state=follower leader=1 term=1 cov=2.6%/11.5%
[R4] state=follower leader=1 term=1 cov=2.6%/11.5%
[R4] state=follower leader=1 term=1 cov=2.6%/11.5%
[R4] state=follower leader=1 term=1 cov=3.1%/12.5%
[R4] state=follower leader=1 term=1 cov=3.6%/15.1%
[R4] state=follower leader=1 term=1 cov=3.6%/16.7%
[R4] state=follower leader=1 term=1 cov=4.2%/17.7%
[R4] state=follower leader=1 term=1 cov=4.2%/18.2%
[R4] state=follower leader=1 term=1 cov=4.2%/18.8%
[R4] state=follower leader=1 term=1 cov=4.7%/19.8%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.3%
[R4] state=follower leader=1 term=1 cov=4.7%/20.8%
[R4] state=follower leader=1 term=1 cov=4.7%/20.8%
[R4] state=follower leader=1 term=1 cov=4.7%/20.8%
[R4] state=follower leader=1 term=1 cov=4.7%/20.8%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.4%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
[R4] state=follower leader=1 term=1 cov=4.7%/21.9%
