[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 3 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_3_20260226_000651.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 12103
[INFO] Peer socket listening on port 12203
[INFO] Fault socket listening on port 12303
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R3] state=follower leader=None term=0 cov=0.0%/0.0%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=0.5%/2.1%
[R3] state=follower leader=4 term=2 cov=1.6%/5.2%
[R3] state=follower leader=4 term=2 cov=1.6%/5.2%
[R3] state=follower leader=4 term=2 cov=1.6%/5.2%
[R3] state=follower leader=4 term=2 cov=1.6%/5.2%
[R3] state=follower leader=4 term=2 cov=1.6%/5.2%
[R3] state=follower leader=4 term=2 cov=1.6%/5.2%
[R3] state=follower leader=4 term=2 cov=1.6%/5.2%
[R3] state=follower leader=4 term=2 cov=1.6%/6.2%
[R3] state=follower leader=4 term=2 cov=2.1%/8.9%
[R3] state=follower leader=4 term=2 cov=3.1%/12.0%
[R3] state=follower leader=4 term=2 cov=4.2%/16.1%
[R3] state=follower leader=4 term=2 cov=4.7%/18.8%
[R3] state=follower leader=4 term=2 cov=5.7%/22.9%
[R3] state=follower leader=4 term=2 cov=6.8%/26.6%
[R3] state=follower leader=4 term=2 cov=7.3%/30.2%
[R3] state=follower leader=4 term=2 cov=8.3%/33.3%
[R3] state=follower leader=4 term=2 cov=8.9%/37.0%
[R3] state=follower leader=4 term=2 cov=9.9%/40.1%
[R3] state=follower leader=4 term=2 cov=10.4%/42.7%
[R3] state=follower leader=4 term=2 cov=11.5%/46.9%
[R3] state=follower leader=4 term=2 cov=12.5%/50.5%
[R3] state=follower leader=4 term=2 cov=13.0%/53.6%
[R3] state=follower leader=4 term=2 cov=14.1%/57.8%
[R3] state=follower leader=4 term=2 cov=14.6%/61.5%
[R3] state=follower leader=4 term=2 cov=15.6%/64.6%
[R3] state=follower leader=4 term=2 cov=16.1%/67.7%
[R3] state=follower leader=4 term=2 cov=17.2%/71.4%
[R3] state=follower leader=4 term=2 cov=17.7%/74.5%
[R3] state=follower leader=4 term=2 cov=18.2%/76.0%
[R3] state=follower leader=4 term=2 cov=19.3%/78.1%
[R3] state=follower leader=4 term=2 cov=19.3%/78.6%
[R3] state=follower leader=4 term=2 cov=19.8%/80.2%
[R3] state=follower leader=4 term=2 cov=20.3%/82.3%
[R3] state=follower leader=4 term=2 cov=20.8%/83.9%
[R3] state=follower leader=4 term=2 cov=21.4%/85.4%
[R3] state=follower leader=4 term=2 cov=21.9%/85.9%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
[R3] state=follower leader=4 term=2 cov=21.9%/86.5%
