[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 5 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_5_20260226_000652.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 14105
[INFO] Peer socket listening on port 14205
[INFO] Fault socket listening on port 14305
Ready!

=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[ELECTION] New leader: 5
[R5] pos=(0,0) state=leader leader=5 trust=1.00 susp=0.00 cov=0.0%/0.0%
[ELECTION] New leader: 1
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1512,361) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.6%
[R5] pos=(1477,417) state=follower leader=1 trust=1.00 susp=0.00 cov=1.6%/6.2%
[R5] pos=(1552,525) state=follower leader=1 trust=1.00 susp=0.00 cov=2.6%/10.9%
[R5] pos=(1552,525) state=follower leader=1 trust=1.00 susp=0.00 cov=2.6%/10.9%
[R5] pos=(1505,541) state=follower leader=1 trust=1.00 susp=0.00 cov=2.6%/11.5%
[R5] pos=(1505,541) state=follower leader=1 trust=1.00 susp=0.00 cov=2.6%/11.5%
[R5] pos=(1453,581) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/13.5%
[R5] pos=(1446,630) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/15.1%
[R5] pos=(1536,674) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/17.7%
[R5] pos=(1536,674) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/17.7%
[R5] pos=(1536,674) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/17.7%
[R5] pos=(1536,674) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/17.7%
[R5] pos=(1541,699) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/18.2%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
[R5] pos=(1555,773) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/20.3%
