[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 3 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_3_20260226_000940.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 12103
[INFO] Peer socket listening on port 12203
[INFO] Fault socket listening on port 12303
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R3] state=follower leader=None term=0 cov=0.0%/0.0%
[R3] state=follower leader=1 term=1 cov=0.5%/0.5%
[R3] state=follower leader=1 term=1 cov=1.6%/7.3%
[R3] state=follower leader=1 term=1 cov=2.1%/10.4%
[R3] state=follower leader=1 term=1 cov=3.1%/15.6%
[R3] state=follower leader=1 term=1 cov=3.6%/19.3%
[R3] state=follower leader=1 term=1 cov=4.7%/22.9%
[R3] state=follower leader=1 term=1 cov=6.2%/27.1%
[R3] state=follower leader=1 term=1 cov=6.8%/30.7%
[R3] state=follower leader=1 term=1 cov=7.8%/35.4%
[R3] state=follower leader=1 term=1 cov=8.9%/39.6%
[R3] state=follower leader=1 term=1 cov=9.4%/42.2%
[R3] state=follower leader=1 term=1 cov=10.4%/46.4%
[R3] state=follower leader=1 term=1 cov=11.5%/51.0%
[R3] state=follower leader=1 term=1 cov=12.5%/53.1%
[R3] state=follower leader=1 term=1 cov=13.5%/55.7%
[R3] state=follower leader=1 term=1 cov=15.1%/60.9%
[R3] state=follower leader=1 term=1 cov=15.6%/63.5%
[R3] state=follower leader=1 term=1 cov=16.1%/66.7%
[R3] state=follower leader=1 term=1 cov=16.7%/69.8%
[R3] state=follower leader=1 term=1 cov=17.2%/71.9%
[R3] state=follower leader=1 term=1 cov=17.7%/74.5%
[R3] state=follower leader=1 term=1 cov=17.7%/76.0%
[R3] state=follower leader=1 term=1 cov=17.7%/78.6%
[R3] state=follower leader=1 term=1 cov=17.7%/80.2%
[R3] state=follower leader=1 term=1 cov=18.8%/81.8%
[R3] state=follower leader=1 term=1 cov=19.3%/82.8%
[R3] state=follower leader=1 term=1 cov=19.3%/83.9%
[R3] state=follower leader=1 term=1 cov=19.3%/84.4%
[R3] state=follower leader=1 term=1 cov=19.8%/85.4%
[R3] state=follower leader=1 term=1 cov=19.8%/86.5%
[R3] state=follower leader=1 term=1 cov=19.8%/87.0%
[R3] state=follower leader=1 term=1 cov=19.8%/87.5%
[R3] state=follower leader=1 term=1 cov=19.8%/87.5%
[R3] state=follower leader=1 term=1 cov=19.8%/88.0%
[R3] state=follower leader=1 term=1 cov=20.8%/89.1%
[R3] state=follower leader=1 term=1 cov=20.8%/90.1%
[R3] state=follower leader=1 term=1 cov=21.4%/91.1%
[R3] state=follower leader=1 term=1 cov=21.9%/92.2%
[R3] state=follower leader=1 term=1 cov=21.9%/92.7%
[R3] state=follower leader=1 term=1 cov=22.9%/93.8%
[R3] state=follower leader=1 term=1 cov=22.9%/94.8%
[R3] state=follower leader=1 term=1 cov=22.9%/95.8%
[R3] state=follower leader=1 term=1 cov=23.4%/96.4%
[R3] state=follower leader=1 term=1 cov=23.4%/96.9%
[R3] state=follower leader=1 term=1 cov=24.0%/97.9%
[R3] state=follower leader=1 term=1 cov=24.0%/99.0%
[R3] state=follower leader=1 term=1 cov=24.0%/99.0%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
[R3] state=follower leader=1 term=1 cov=24.0%/99.5%
