[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_000903.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 18105
[INFO] Peer socket listening on port 18205
[INFO] Fault socket listening on port 18305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[RAFT] Starting election, term 1
[RAFT] Became leader, term 1
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/2.6%
[R5] state=leader leader=5 term=1 cov=0.5%/3.6%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
[R5] state=leader leader=5 term=1 cov=1.6%/7.8%
