[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 3 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_3_20260226_000906.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 15103
[INFO] Peer socket listening on port 15203
[INFO] Fault socket listening on port 15303
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R3] state=follower leader=None term=0 cov=0.0%/0.0%
[R3] state=follower leader=2 term=1 cov=0.5%/0.5%
[R3] state=follower leader=2 term=1 cov=2.1%/8.3%
[R3] state=follower leader=2 term=1 cov=3.1%/13.5%
[R3] state=follower leader=2 term=1 cov=3.6%/17.2%
[R3] state=follower leader=2 term=1 cov=4.7%/21.9%
[R3] state=follower leader=2 term=1 cov=5.7%/25.5%
[R3] state=follower leader=2 term=1 cov=6.2%/28.6%
[R3] state=follower leader=2 term=1 cov=7.3%/32.8%
[R3] state=follower leader=2 term=1 cov=8.3%/37.0%
[R3] state=follower leader=2 term=1 cov=8.9%/40.1%
[R3] state=follower leader=2 term=1 cov=9.4%/42.7%
[R3] state=follower leader=2 term=1 cov=9.9%/45.8%
[R3] state=follower leader=2 term=1 cov=10.4%/47.4%
[R3] state=follower leader=2 term=1 cov=10.9%/51.0%
[R3] state=follower leader=2 term=1 cov=11.5%/52.1%
[R3] state=follower leader=2 term=1 cov=11.5%/54.2%
[R3] state=follower leader=2 term=1 cov=12.0%/54.7%
[R3] state=follower leader=2 term=1 cov=12.0%/54.7%
[R3] state=follower leader=2 term=1 cov=12.0%/54.7%
[R3] state=follower leader=2 term=1 cov=12.0%/54.7%
[R3] state=follower leader=2 term=1 cov=12.0%/54.7%
[R3] state=follower leader=2 term=1 cov=12.0%/55.2%
[R3] state=follower leader=2 term=1 cov=12.5%/56.8%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.0%/59.4%
[R3] state=follower leader=2 term=1 cov=13.5%/62.0%
[R3] state=follower leader=2 term=1 cov=14.6%/66.1%
[R3] state=follower leader=2 term=1 cov=15.1%/68.2%
[R3] state=follower leader=2 term=1 cov=15.6%/68.2%
[R3] state=follower leader=2 term=1 cov=16.1%/69.8%
[R3] state=follower leader=2 term=1 cov=16.7%/71.9%
[R3] state=follower leader=2 term=1 cov=17.2%/75.5%
[R3] state=follower leader=2 term=1 cov=17.7%/79.2%
[R3] state=follower leader=2 term=1 cov=17.7%/79.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
[R3] state=follower leader=2 term=1 cov=17.7%/80.7%
