[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 4 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_4_20260226_000651.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 5104
[INFO] Peer socket listening on port 5204
[INFO] Fault socket listening on port 5304
Ready!

=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[ELECTION] New leader: 4
[R4] pos=(0,0) state=leader leader=4 trust=1.00 susp=0.00 cov=0.0%/0.0%
[ELECTION] New leader: 1
[R4] pos=(783,738) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(783,738) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(783,738) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(783,738) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(783,738) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(801,784) state=follower leader=1 trust=1.00 susp=0.00 cov=1.0%/4.2%
[R4] pos=(701,833) state=follower leader=1 trust=1.00 susp=0.00 cov=1.6%/7.8%
[R4] pos=(691,908) state=follower leader=1 trust=1.00 susp=0.00 cov=2.1%/10.4%
[R4] pos=(813,963) state=follower leader=1 trust=1.00 susp=0.00 cov=2.6%/13.0%
[R4] pos=(940,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/17.7%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(948,974) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.8%
[R4] pos=(972,967) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/21.4%
[R4] pos=(1059,1042) state=follower leader=1 trust=1.00 susp=0.00 cov=5.2%/26.0%
[R4] pos=(1109,1050) state=follower leader=1 trust=1.00 susp=0.00 cov=5.2%/26.6%
[R4] pos=(1199,977) state=follower leader=1 trust=1.00 susp=0.00 cov=6.2%/30.7%
[R4] pos=(1302,993) state=follower leader=1 trust=1.00 susp=0.00 cov=6.8%/33.9%
[R4] pos=(1306,1018) state=follower leader=1 trust=1.00 susp=0.00 cov=7.3%/35.9%
[R4] pos=(1377,1042) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/37.5%
[R4] pos=(1377,1042) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/37.5%
[R4] pos=(1377,1042) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/37.5%
[R4] pos=(1377,1042) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/37.5%
[R4] pos=(1377,1042) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/37.5%
[R4] pos=(1396,1088) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/39.6%
[R4] pos=(1406,1111) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/40.1%
[R4] pos=(1406,1111) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/40.1%
[R4] pos=(1406,1111) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/40.1%
[R4] pos=(1406,1111) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/40.1%
[R4] pos=(1406,1111) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/40.1%
[R4] pos=(1406,1111) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/40.1%
[R4] pos=(1415,1134) state=follower leader=1 trust=1.00 susp=0.00 cov=8.3%/41.1%
[R4] pos=(1324,1266) state=follower leader=1 trust=1.00 susp=0.00 cov=9.4%/45.3%
[R4] pos=(1392,1304) state=follower leader=1 trust=1.00 susp=0.00 cov=9.9%/47.9%
[R4] pos=(1358,1425) state=follower leader=1 trust=1.00 susp=0.00 cov=10.9%/52.6%
[R4] pos=(1224,1402) state=follower leader=1 trust=1.00 susp=0.00 cov=11.5%/54.7%
[R4] pos=(1097,1318) state=follower leader=1 trust=1.00 susp=0.00 cov=12.5%/58.9%
[R4] pos=(1029,1406) state=follower leader=1 trust=1.00 susp=0.00 cov=13.0%/61.5%
[R4] pos=(890,1321) state=follower leader=1 trust=1.00 susp=0.00 cov=14.1%/65.6%
[R4] pos=(815,1338) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(814,1363) state=follower leader=1 trust=1.00 susp=0.00 cov=14.6%/68.2%
