[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 1 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_1_20260226_075944.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 5101
[INFO] Peer socket listening on port 5201
[INFO] Fault socket listening on port 5301
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R1] state=follower leader=None term=0 cov=0.0%/0.0%
[RAFT] Starting election, term 2
[RAFT] Became leader, term 2
[R1] state=leader leader=1 term=2 cov=0.5%/2.1%
[R1] state=leader leader=1 term=2 cov=2.6%/8.9%
[R1] state=leader leader=1 term=2 cov=4.7%/15.6%
[R1] state=leader leader=1 term=2 cov=7.8%/25.5%
[R1] state=leader leader=1 term=2 cov=8.9%/32.3%
[R1] state=leader leader=1 term=2 cov=9.9%/38.0%
[R1] state=leader leader=1 term=2 cov=10.9%/42.7%
[R1] state=leader leader=1 term=2 cov=12.0%/47.4%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[R1] state=leader leader=1 term=2 cov=13.0%/53.1%
[FAULT] BAD_LEADER mode - will send bad assignments (Raft CANNOT detect this)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=13.5%/55.7%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=16.7%/62.0%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=19.3%/65.1%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=20.8%/67.2%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=24.5%/71.9%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=28.1%/75.0%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=30.2%/76.6%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=33.3%/79.7%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=36.5%/82.8%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=39.6%/85.9%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=42.7%/89.1%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=45.3%/91.7%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=48.4%/94.8%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[R1] state=leader leader=1 term=2 cov=50.0%/96.4%
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
[BAD_LEADER] Raft leader sending 5 robots to EXPLORED cells (no detection possible)
