[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 4 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_4_20260226_171246.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 23104
[INFO] Peer socket listening on port 23204
[INFO] Fault socket listening on port 23304
Ready!

=== DECENTRALIZED MODE - No leader coordination ===
=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[R4] pos=(0,0) state=exploring leader=None trust=1.00 susp=0.00 cov=0.0%/0.0%
[R4] pos=(314,624) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/0.5%
[R4] pos=(75,75) state=exploring leader=None trust=1.00 susp=0.00 cov=3.6%/16.7%
[R4] pos=(760,75) state=exploring leader=None trust=1.00 susp=0.00 cov=7.3%/26.0%
[R4] pos=(1316,193) state=exploring leader=None trust=1.00 susp=0.00 cov=10.4%/32.8%
[R4] pos=(1631,75) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/45.3%
[R4] pos=(1684,564) state=exploring leader=None trust=1.00 susp=0.00 cov=18.8%/59.4%
[R4] pos=(1471,1111) state=exploring leader=None trust=1.00 susp=0.00 cov=22.9%/74.0%
[R4] pos=(1013,1319) state=exploring leader=None trust=1.00 susp=0.00 cov=25.5%/81.8%
[R4] pos=(1502,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=28.1%/83.9%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1553,1330) state=exploring leader=None trust=1.00 susp=0.00 cov=28.6%/84.4%
[R4] pos=(1561,1205) state=exploring leader=None trust=1.00 susp=0.00 cov=29.2%/84.9%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1562,1080) state=exploring leader=None trust=1.00 susp=0.00 cov=29.7%/85.4%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1688,1296) state=exploring leader=None trust=1.00 susp=0.00 cov=31.2%/87.0%
[R4] pos=(1925,1205) state=exploring leader=None trust=1.00 susp=0.00 cov=34.4%/95.3%
[R4] pos=(1925,971) state=exploring leader=None trust=1.00 susp=0.00 cov=35.4%/97.4%
[R4] pos=(1925,971) state=exploring leader=None trust=1.00 susp=0.00 cov=35.4%/97.4%
