[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 1 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_1_20260226_173821.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 14101
[INFO] Peer socket listening on port 14201
[INFO] Fault socket listening on port 14301
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R1] state=follower leader=None term=0 cov=0.0%/0.0%
[R1] state=follower leader=5 term=1 cov=0.5%/0.5%
[R1] state=follower leader=5 term=1 cov=2.1%/13.0%
[R1] state=follower leader=5 term=1 cov=3.6%/23.4%
[R1] state=follower leader=5 term=1 cov=5.2%/32.8%
[R1] state=follower leader=5 term=1 cov=8.3%/45.3%
[R1] state=follower leader=5 term=1 cov=10.4%/56.8%
[R1] state=follower leader=5 term=1 cov=13.0%/68.2%
[R1] state=follower leader=5 term=1 cov=15.1%/77.6%
[R1] state=follower leader=5 term=1 cov=16.1%/83.3%
[R1] state=follower leader=5 term=1 cov=19.3%/91.7%
[R1] state=follower leader=5 term=1 cov=22.4%/96.4%
[R1] state=follower leader=5 term=1 cov=24.0%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[FAULT] BAD_LEADER mode - will send bad assignments (Raft CANNOT detect this)
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
[R1] state=follower leader=5 term=1 cov=24.5%/100.0%
