[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_174034.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 22105
[INFO] Peer socket listening on port 22205
[INFO] Fault socket listening on port 22305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[R5] state=follower leader=2 term=1 cov=0.5%/0.5%
[R5] state=follower leader=2 term=1 cov=2.1%/10.9%
[R5] state=follower leader=2 term=1 cov=4.7%/22.4%
[R5] state=follower leader=2 term=1 cov=6.2%/32.3%
[R5] state=follower leader=2 term=1 cov=8.9%/43.8%
[R5] state=follower leader=2 term=1 cov=10.4%/50.5%
[R5] state=follower leader=2 term=1 cov=12.0%/60.4%
[R5] state=follower leader=2 term=1 cov=15.1%/67.2%
[R5] state=follower leader=2 term=1 cov=17.7%/72.9%
[R5] state=follower leader=2 term=1 cov=19.8%/81.8%
[R5] state=follower leader=2 term=1 cov=22.4%/91.1%
[R5] state=follower leader=2 term=1 cov=24.5%/97.4%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
[R5] state=follower leader=2 term=1 cov=25.5%/100.0%
