[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 2 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_2_20260226_182453.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 6102
[INFO] Peer socket listening on port 6202
[INFO] Fault socket listening on port 6302
Ready!

=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[ELECTION] New leader: 2
[R2] pos=(0,0) state=leader leader=2 trust=1.00 susp=0.00 cov=0.0%/0.0%
[ELECTION] New leader: 1
[R2] pos=(1429,1070) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/0.5%
[R2] pos=(1304,1295) state=follower leader=1 trust=1.00 susp=0.00 cov=2.1%/10.9%
[R2] pos=(1081,1188) state=follower leader=1 trust=1.00 susp=0.00 cov=4.2%/20.3%
[R2] pos=(1062,1418) state=follower leader=1 trust=1.00 susp=0.00 cov=5.7%/30.7%
[R2] pos=(759,1300) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/40.6%
[R2] pos=(603,1425) state=follower leader=1 trust=1.00 susp=0.00 cov=10.4%/49.0%
[R2] pos=(1205,1425) state=follower leader=1 trust=1.00 susp=0.00 cov=12.0%/56.8%
[R2] pos=(1580,1425) state=follower leader=1 trust=1.00 susp=0.00 cov=13.5%/67.7%
[R2] pos=(1898,1305) state=follower leader=1 trust=1.00 susp=0.00 cov=16.1%/80.7%
[MPC] Moderate mismatch: best alignment 132°, error=0.28
[R2] pos=(1827,1195) state=follower leader=1 trust=1.00 susp=0.00 cov=18.2%/88.5%
[R2] pos=(1492,983) state=follower leader=1 trust=1.00 susp=0.00 cov=20.8%/94.8%
[R2] pos=(1295,312) state=follower leader=1 trust=1.00 susp=0.00 cov=24.5%/99.5%
[R2] pos=(376,105) state=follower leader=1 trust=1.00 susp=0.00 cov=28.6%/100.0%
[R2] pos=(126,75) state=follower leader=1 trust=1.00 susp=0.00 cov=29.7%/100.0%
[R2] pos=(126,75) state=follower leader=1 trust=1.00 susp=0.00 cov=29.7%/100.0%
[R2] pos=(134,75) state=follower leader=1 trust=1.00 susp=0.00 cov=30.2%/100.0%
[R2] pos=(255,75) state=follower leader=1 trust=1.00 susp=0.00 cov=30.2%/100.0%
