[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 2 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_2_20260226_191800.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 10102
[INFO] Peer socket listening on port 10202
[INFO] Fault socket listening on port 10302
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R2] state=follower leader=None term=0 cov=0.0%/0.0%
[RAFT] Starting election, term 2
[RAFT] Became leader, term 2
[R2] state=leader leader=2 term=2 cov=0.5%/0.5%
[R2] state=leader leader=2 term=2 cov=2.6%/9.4%
[R2] state=leader leader=2 term=2 cov=5.7%/20.3%
[R2] state=leader leader=2 term=2 cov=7.8%/32.3%
[R2] state=leader leader=2 term=2 cov=10.9%/44.3%
[R2] state=leader leader=2 term=2 cov=13.0%/54.2%
[R2] state=leader leader=2 term=2 cov=16.7%/62.5%
[R2] state=leader leader=2 term=2 cov=19.8%/70.8%
[R2] state=leader leader=2 term=2 cov=22.9%/80.2%
[R2] state=leader leader=2 term=2 cov=26.6%/88.0%
[R2] state=leader leader=2 term=2 cov=28.6%/95.8%
[R2] state=leader leader=2 term=2 cov=32.3%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
[R2] state=leader leader=2 term=2 cov=32.8%/100.0%
