[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 4 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_4_20260226_194113.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 10104
[INFO] Peer socket listening on port 10204
[INFO] Fault socket listening on port 10304
Ready!

=== DECENTRALIZED MODE - No leader coordination ===
=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[R4] pos=(0,0) state=exploring leader=None trust=1.00 susp=0.00 cov=0.0%/0.0%
[R4] pos=(824,228) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/0.5%
[R4] pos=(162,187) state=exploring leader=None trust=1.00 susp=0.00 cov=3.1%/14.6%
[R4] pos=(793,75) state=exploring leader=None trust=1.00 susp=0.00 cov=6.8%/25.5%
[R4] pos=(874,380) state=exploring leader=None trust=1.00 susp=0.00 cov=9.4%/35.9%
[R4] pos=(922,1069) state=exploring leader=None trust=1.00 susp=0.00 cov=12.5%/46.4%
[R4] pos=(1062,1325) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/51.0%
[R4] pos=(1085,1085) state=exploring leader=None trust=1.00 susp=0.00 cov=17.2%/54.7%
[R4] pos=(1085,439) state=exploring leader=None trust=1.00 susp=0.00 cov=19.8%/63.0%
[R4] pos=(1398,195) state=exploring leader=None trust=1.00 susp=0.00 cov=23.4%/71.9%
[R4] pos=(1810,174) state=exploring leader=None trust=1.00 susp=0.00 cov=27.6%/82.3%
[R4] pos=(1813,793) state=exploring leader=None trust=1.00 susp=0.00 cov=30.7%/89.6%
[R4] pos=(1812,967) state=exploring leader=None trust=1.00 susp=0.00 cov=34.4%/96.4%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
[R4] pos=(1803,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=38.0%/100.0%
