[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 5 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_5_20260226_194352.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 9105
[INFO] Peer socket listening on port 9205
[INFO] Fault socket listening on port 9305
Ready!

=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[ELECTION] New leader: 5
[R5] pos=(0,0) state=leader leader=5 trust=1.00 susp=0.00 cov=0.0%/0.0%
[ELECTION] New leader: 1
[R5] pos=(830,276) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/0.5%
[R5] pos=(684,75) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/15.1%
[R5] pos=(893,284) state=follower leader=1 trust=1.00 susp=0.00 cov=4.7%/26.6%
[R5] pos=(806,565) state=follower leader=1 trust=1.00 susp=0.00 cov=6.8%/32.8%
[R5] pos=(915,729) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/41.7%
[R5] pos=(915,719) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/46.4%
[R5] pos=(915,774) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/50.0%
[R5] pos=(915,773) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/52.6%
[R5] pos=(915,767) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/57.3%
[R5] pos=(915,645) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/62.0%
[R5] pos=(915,703) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/63.5%
[R5] pos=(915,812) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/65.6%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
[R5] pos=(915,802) state=follower leader=1 trust=1.00 susp=0.00 cov=7.8%/67.2%
