[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 3 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_3_20260226_205703.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 14103
[INFO] Peer socket listening on port 14203
[INFO] Fault socket listening on port 14303
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R3] state=follower leader=None term=0 cov=0.0%/0.0%
[R3] state=follower leader=2 term=1 cov=0.5%/0.5%
[R3] state=follower leader=2 term=1 cov=3.1%/12.0%
[R3] state=follower leader=2 term=1 cov=6.2%/22.9%
[R3] state=follower leader=2 term=1 cov=8.3%/29.2%
[R3] state=follower leader=2 term=1 cov=10.9%/37.0%
[R3] state=follower leader=2 term=1 cov=13.0%/42.2%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=14.6%/47.4%
[R3] state=follower leader=2 term=1 cov=17.2%/50.5%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=18.8%/52.1%
[R3] state=follower leader=2 term=1 cov=19.3%/52.6%
[R3] state=follower leader=2 term=1 cov=20.3%/54.7%
[R3] state=follower leader=2 term=1 cov=20.8%/55.2%
[R3] state=follower leader=2 term=1 cov=21.4%/55.7%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
[R3] state=follower leader=2 term=1 cov=21.9%/56.2%
