[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 4 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_4_20260226_212047.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 26104
[INFO] Peer socket listening on port 26204
[INFO] Fault socket listening on port 26304
Ready!

=== DECENTRALIZED MODE - No leader coordination ===
=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[R4] pos=(0,0) state=exploring leader=None trust=1.00 susp=0.00 cov=0.0%/0.0%
[R4] pos=(421,1020) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/0.5%
[R4] pos=(75,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=3.6%/18.2%
[R4] pos=(784,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=6.8%/33.3%
[R4] pos=(793,942) state=exploring leader=None trust=1.00 susp=0.00 cov=10.4%/45.3%
[R4] pos=(907,587) state=exploring leader=None trust=1.00 susp=0.00 cov=12.5%/47.9%
[R4] pos=(906,738) state=exploring leader=None trust=1.00 susp=0.00 cov=12.5%/47.9%
[R4] pos=(906,688) state=exploring leader=None trust=1.00 susp=0.00 cov=12.5%/51.0%
[R4] pos=(906,683) state=exploring leader=None trust=1.00 susp=0.00 cov=12.5%/52.1%
[R4] pos=(907,602) state=exploring leader=None trust=1.00 susp=0.00 cov=12.5%/54.7%
[R4] pos=(907,489) state=exploring leader=None trust=1.00 susp=0.00 cov=13.0%/57.3%
[R4] pos=(907,452) state=exploring leader=None trust=1.00 susp=0.00 cov=13.0%/59.4%
[R4] pos=(906,313) state=exploring leader=None trust=1.00 susp=0.00 cov=13.5%/60.9%
[R4] pos=(906,313) state=exploring leader=None trust=1.00 susp=0.00 cov=13.5%/60.9%
[R4] pos=(906,313) state=exploring leader=None trust=1.00 susp=0.00 cov=13.5%/60.9%
[R4] pos=(906,313) state=exploring leader=None trust=1.00 susp=0.00 cov=13.5%/60.9%
[R4] pos=(906,188) state=exploring leader=None trust=1.00 susp=0.00 cov=14.1%/61.5%
[R4] pos=(906,103) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/64.6%
[R4] pos=(906,561) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/68.2%
[R4] pos=(906,564) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/71.4%
[R4] pos=(906,563) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/71.9%
[R4] pos=(906,563) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/71.9%
[R4] pos=(905,551) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/73.4%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,560) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/74.0%
[R4] pos=(905,563) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/77.6%
[R4] pos=(906,579) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/79.7%
[R4] pos=(905,671) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/84.4%
[R4] pos=(905,579) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/87.0%
[R4] pos=(904,663) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/90.1%
[R4] pos=(905,569) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/92.7%
