[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 1 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_1_20260226_213444.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 16101
[INFO] Peer socket listening on port 16201
[INFO] Fault socket listening on port 16301
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R1] state=follower leader=None term=0 cov=0.0%/0.0%
[RAFT] Starting election, term 1
[RAFT] Became leader, term 1
[R1] state=leader leader=1 term=1 cov=0.5%/0.5%
[R1] state=leader leader=1 term=1 cov=3.1%/13.5%
[R1] state=leader leader=1 term=1 cov=4.7%/20.8%
[R1] state=leader leader=1 term=1 cov=6.2%/31.2%
[R1] state=leader leader=1 term=1 cov=8.9%/39.6%
[R1] state=leader leader=1 term=1 cov=11.5%/44.3%
[R1] state=leader leader=1 term=1 cov=14.6%/50.0%
[R1] state=leader leader=1 term=1 cov=16.1%/55.2%
[R1] state=leader leader=1 term=1 cov=19.8%/62.0%
[R1] state=leader leader=1 term=1 cov=22.9%/70.3%
[R1] state=leader leader=1 term=1 cov=26.0%/79.2%
[R1] state=leader leader=1 term=1 cov=28.1%/84.9%
[R1] state=leader leader=1 term=1 cov=31.2%/92.2%
[R1] state=leader leader=1 term=1 cov=33.3%/99.0%
[R1] state=leader leader=1 term=1 cov=36.5%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
[R1] state=leader leader=1 term=1 cov=37.0%/100.0%
