[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 4 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_4_20260226_211418.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 22104
[INFO] Peer socket listening on port 22204
[INFO] Fault socket listening on port 22304
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R4] state=follower leader=None term=0 cov=0.0%/0.0%
[R4] state=follower leader=1 term=1 cov=0.5%/1.6%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.0%/5.7%
[R4] state=follower leader=1 term=1 cov=1.6%/7.8%
[R4] state=follower leader=1 term=1 cov=3.6%/14.6%
[R4] state=follower leader=1 term=1 cov=6.2%/22.4%
[R4] state=follower leader=1 term=1 cov=8.9%/27.6%
[R4] state=follower leader=1 term=1 cov=10.9%/35.4%
[R4] state=follower leader=1 term=1 cov=10.9%/39.1%
[R4] state=follower leader=1 term=1 cov=10.9%/42.2%
[R4] state=follower leader=1 term=1 cov=10.9%/46.4%
[R4] state=follower leader=1 term=1 cov=10.9%/46.4%
[R4] state=follower leader=1 term=1 cov=10.9%/46.9%
[R4] state=follower leader=1 term=1 cov=11.5%/50.5%
[R4] state=follower leader=1 term=1 cov=11.5%/51.6%
[R4] state=follower leader=1 term=1 cov=11.5%/53.6%
[R4] state=follower leader=1 term=1 cov=11.5%/55.2%
[R4] state=follower leader=1 term=1 cov=11.5%/55.2%
[R4] state=follower leader=1 term=1 cov=12.0%/57.3%
[R4] state=follower leader=1 term=1 cov=12.0%/60.9%
[R4] state=follower leader=1 term=1 cov=12.0%/66.1%
[R4] state=follower leader=1 term=1 cov=12.0%/69.3%
[R4] state=follower leader=1 term=1 cov=12.0%/70.3%
[R4] state=follower leader=1 term=1 cov=12.0%/70.3%
[R4] state=follower leader=1 term=1 cov=12.0%/70.3%
[R4] state=follower leader=1 term=1 cov=12.0%/72.4%
[R4] state=follower leader=1 term=1 cov=12.0%/75.5%
[R4] state=follower leader=1 term=1 cov=12.0%/77.1%
[R4] state=follower leader=1 term=1 cov=12.0%/77.6%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/78.1%
[R4] state=follower leader=1 term=1 cov=12.0%/80.7%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
[R4] state=follower leader=1 term=1 cov=12.0%/81.8%
