[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 3 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_3_20260227_173932.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 5103
[INFO] Peer socket listening on port 5203
[INFO] Fault socket listening on port 5303
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R3] state=follower leader=None term=0 cov=0.0%/0.0%
[R3] state=follower leader=4 term=1 cov=0.5%/0.5%
[R3] state=follower leader=4 term=1 cov=1.6%/7.8%
[R3] state=follower leader=4 term=1 cov=3.6%/17.2%
[R3] state=follower leader=4 term=1 cov=5.7%/26.6%
[R3] state=follower leader=4 term=1 cov=7.3%/35.4%
[R3] state=follower leader=4 term=1 cov=9.4%/41.7%
[R3] state=follower leader=4 term=1 cov=10.4%/46.4%
[R3] state=follower leader=4 term=1 cov=11.5%/50.0%
[R3] state=follower leader=4 term=1 cov=13.0%/54.7%
[R3] state=follower leader=4 term=1 cov=13.5%/55.7%
[R3] state=follower leader=4 term=1 cov=15.6%/58.3%
[R3] state=follower leader=4 term=1 cov=16.7%/60.4%
[R3] state=follower leader=4 term=1 cov=17.2%/63.5%
[R3] state=follower leader=4 term=1 cov=17.7%/64.6%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/66.1%
[R3] state=follower leader=4 term=1 cov=17.7%/68.8%
[R3] state=follower leader=4 term=1 cov=17.7%/72.4%
[R3] state=follower leader=4 term=1 cov=17.7%/76.6%
[R3] state=follower leader=4 term=1 cov=18.2%/80.2%
[R3] state=follower leader=4 term=1 cov=18.2%/84.4%
[R3] state=follower leader=4 term=1 cov=18.2%/87.5%
[R3] state=follower leader=4 term=1 cov=18.2%/89.1%
[R3] state=follower leader=4 term=1 cov=18.2%/89.1%
[R3] state=follower leader=4 term=1 cov=18.2%/89.6%
[R3] state=follower leader=4 term=1 cov=18.2%/89.6%
[R3] state=follower leader=4 term=1 cov=18.2%/89.6%
[R3] state=follower leader=4 term=1 cov=18.2%/89.6%
[R3] state=follower leader=4 term=1 cov=18.2%/89.6%
[R3] state=follower leader=4 term=1 cov=18.2%/89.6%
[R3] state=follower leader=4 term=1 cov=18.2%/89.6%
[R3] state=follower leader=4 term=1 cov=18.2%/90.6%
[R3] state=follower leader=4 term=1 cov=18.2%/92.7%
[R3] state=follower leader=4 term=1 cov=18.2%/94.8%
[R3] state=follower leader=4 term=1 cov=18.2%/94.8%
[R3] state=follower leader=4 term=1 cov=18.2%/94.8%
[R3] state=follower leader=4 term=1 cov=18.2%/96.4%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
[R3] state=follower leader=4 term=1 cov=18.2%/96.9%
