[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 2 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_2_20260227_180735.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 7102
[INFO] Peer socket listening on port 7202
[INFO] Fault socket listening on port 7302
Ready!

=== DECENTRALIZED MODE - No leader coordination ===
=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[R2] pos=(0,0) state=exploring leader=None trust=1.00 susp=0.00 cov=0.0%/0.0%
[R2] pos=(397,711) state=exploring leader=None trust=1.00 susp=0.00 cov=0.5%/0.5%
[R2] pos=(75,392) state=exploring leader=None trust=1.00 susp=0.00 cov=3.1%/10.9%
[R2] pos=(412,141) state=exploring leader=None trust=1.00 susp=0.00 cov=7.3%/18.2%
[R2] pos=(812,195) state=exploring leader=None trust=1.00 susp=0.00 cov=9.9%/24.0%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/25.5%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/26.6%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/28.1%
[R2] pos=(923,75) state=exploring leader=None trust=1.00 susp=0.00 cov=10.9%/29.2%
[R2] pos=(857,290) state=exploring leader=None trust=1.00 susp=0.00 cov=11.5%/30.7%
[R2] pos=(813,705) state=exploring leader=None trust=1.00 susp=0.00 cov=13.0%/36.5%
[R2] pos=(813,1005) state=exploring leader=None trust=1.00 susp=0.00 cov=14.6%/39.6%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(813,1155) state=exploring leader=None trust=1.00 susp=0.00 cov=15.1%/42.2%
[R2] pos=(665,1180) state=exploring leader=None trust=1.00 susp=0.00 cov=15.6%/43.8%
[R2] pos=(678,1253) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/44.3%
[R2] pos=(678,1253) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/44.8%
[R2] pos=(678,1253) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/44.8%
[R2] pos=(678,1253) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/44.8%
[R2] pos=(678,1253) state=exploring leader=None trust=1.00 susp=0.00 cov=16.1%/44.8%
[R2] pos=(821,1425) state=exploring leader=None trust=1.00 susp=0.00 cov=17.2%/46.9%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(867,1254) state=exploring leader=None trust=1.00 susp=0.00 cov=17.7%/48.4%
[R2] pos=(921,1203) state=exploring leader=None trust=1.00 susp=0.00 cov=18.2%/49.0%
[R2] pos=(921,1203) state=exploring leader=None trust=1.00 susp=0.00 cov=18.2%/49.0%
[R2] pos=(924,1128) state=exploring leader=None trust=1.00 susp=0.00 cov=18.2%/49.0%
[R2] pos=(924,1128) state=exploring leader=None trust=1.00 susp=0.00 cov=18.2%/49.0%
[R2] pos=(924,1128) state=exploring leader=None trust=1.00 susp=0.00 cov=18.2%/49.0%
[R2] pos=(924,1128) state=exploring leader=None trust=1.00 susp=0.00 cov=18.2%/49.0%
