[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 3 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_3_20260308_155038.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 5103
[INFO] Peer socket listening on port 5203
[INFO] Fault socket listening on port 5303
Ready!

=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[R3] Waiting for 'start' command...
[R3] pos=(0,0) state=follower leader=None trust=1.00 susp=0.00 cov=0.0%/0.0% mot=(0,0) tgt=None
[ELECTION] New leader: 1
[R3] pos=(700,306) state=follower leader=1 trust=1.00 susp=0.00 cov=2.6%/8.3% mot=(0,0) tgt=None
[R3] pos=(913,317) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,301) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,301) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,299) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,315) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,315) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,315) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,310) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,318) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,307) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/10.9% mot=(0,0) tgt=None
[R3] pos=(911,322) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/14.1% mot=(0,0) tgt=None
[R3] pos=(911,322) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/16.1% mot=(0,0) tgt=None
[R3] pos=(911,323) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,301) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,324) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,302) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,301) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,310) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(910,310) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(910,315) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,307) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,307) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,318) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[FAULT] Motor fault injected: spin
[R3] pos=(911,320) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,320) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[R3] pos=(911,320) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
[FAULT] All faults cleared
[R3] pos=(911,323) state=follower leader=1 trust=1.00 susp=0.00 cov=3.1%/17.7% mot=(0,0) tgt=None
