t,coverage,leader,elections,impeachments,loop_detections,aimless_detections,avg_trust,demoted_leaders,predicted_gain,observed_gain,hallucinating,hallucination_type,origin_leader,fallback_blocked,graph_avg_degree,graph_component_count,graph_ttl_risk_frac,cohesion_scale,eff_connectivity_beta,eff_tether_lambda,eff_degree_under,eff_spacing,fallback_applied
0,0.12042553191489362,0,0,0,0,0,1.0,0,0.18095238095238098,0.8421052631578947,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
1,0.14042553191489363,0,0,0,0,0,1.0,0,0.02857142857142857,0.6666666666666666,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
2,0.15574468085106383,0,0,0,0,0,1.0,0,0.009523809523809525,1.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,1
3,0.16595744680851063,0,0,0,0,0,1.0,0,0.008333333333333333,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,2
4,0.1774468085106383,0,0,0,0,0,1.0,0,0.0125,1.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,1
5,0.18723404255319148,0,0,0,0,0,1.0,0,0.037500000000000006,0.6666666666666666,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
6,0.19957446808510637,0,0,0,0,0,0.8760072144720669,0,0.0125,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
7,0.20808510638297872,0,0,0,0,0,0.8760072144720669,0,0.0125,1.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
8,0.2123404255319149,0,0,0,0,0,0.8760072144720669,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,1
9,0.21617021276595744,0,0,0,0,0,0.8760072144720669,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
10,0.2246808510638298,0,0,0,0,0,0.7659283383646487,0,0.02666666666666667,0.5,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
11,0.22595744680851063,0,0,0,0,0,0.6352037129071008,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,1
12,0.2297872340425532,0,0,0,0,0,0.5195657539931996,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
13,0.2353191489361702,0,0,0,0,0,0.4249795258391417,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
14,0.24,0,0,0,0,0,0.3381432305331718,0,0.06666666666666667,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
15,0.2425531914893617,1,1,0,0,0,1.0,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,1
16,0.2425531914893617,1,1,0,0,0,0.7889322500621309,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
17,0.24765957446808512,1,1,0,0,0,0.6244922705400742,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
18,0.2527659574468085,1,1,0,0,0,0.49763362948901024,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
19,0.2582978723404255,1,1,0,0,0,0.39692274847964243,0,0.05333333333333334,0.25,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
20,0.26340425531914896,1,1,0,0,0,0.32777031440003057,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
